NPROC, SIZE, NQBITS, TARGET, NREPEAT, TIME, BANDWIDTH
128,          256,            4,          100,     0.004096,  0.000771999,      0.53057
128,          512,            4,          100,     0.008192,  0.000760794,      1.07677
128,         1024,            4,          100,     0.016384,  0.000745058,      2.19902
128,         2048,            4,          100,     0.032768,  0.000845909,       3.8737
128,         4096,            4,          100,     0.065536,  0.000720024,      9.10192
128,         8192,            4,          100,     0.131072,  0.000832081,      15.7523
128,        16384,            4,          100,     0.262144,  0.000855923,      30.6271
128,        32768,            4,          100,     0.524288,  0.000849962,      61.6837
128,        65536,            4,          100,      1.04858,  0.000984192,      106.542
128,       131072,            4,           10,      2.09715,  0.000266075,       78.818
128,       262144,            4,           10,       4.1943,  0.000324011,      129.449
128,       524288,            4,           10,      8.38861,     0.000386,      217.322
128,      1048576,            4,           10,      16.7772,  0.000588894,      284.894
128,      2097152,            4,           10,      33.5544,  0.000913858,      367.173
128,      4194304,            4,           10,      67.1089,   0.00161219,       416.26
128,      8388608,            4,           10,      134.218,   0.00287604,      466.675
128,     16777216,            4,           10,      268.435,     0.005054,      531.135
128,     33554432,            4,           10,      536.871,     0.010061,      533.614
128,     67108864,            4,           10,      1073.74,    0.0187669,      572.147
128,    134217728,            4,           10,      2147.48,    0.0328751,      653.226
128,    268435456,            4,           10,      4294.97,     0.065603,      654.691
128,    536870912,            4,           10,      8589.93,     0.131082,      655.311
128,   1073741824,            4,           10,      17179.9,     0.261573,       656.79
