NPROC, SIZE, NQBITS, TARGET, NREPEAT, TIME, BANDWIDTH
128,      1048576,            0,           10,      16.7772,      0.01121,      14.9663
128,      1048576,            1,           10,      16.7772,   0.00714588,      23.4782
128,      1048576,            2,           10,      16.7772,   0.00382185,      43.8982
128,      1048576,            3,           10,      16.7772,    0.0020349,      82.4473
128,      1048576,            4,           10,      16.7772,    0.0010891,      154.047
128,      1048576,            5,           10,      16.7772,  0.000709057,      236.613
128,      1048576,            6,           10,      16.7772,  0.000529051,      317.119
128,      1048576,            7,           10,      16.7772,  0.000605106,      277.261
128,      1048576,            8,           10,      16.7772,  0.000579119,      289.703
128,      1048576,            9,           10,      16.7772,  0.000635147,      264.147
128,      1048576,           10,           10,      16.7772,   0.00058794,      285.356
128,      1048576,           11,           10,      16.7772,  0.000636816,      263.455
128,      1048576,           12,           10,      16.7772,   0.00062108,       270.13
128,      2097152,            0,           10,      33.5544,   0.00159812,      209.962
128,      2097152,            1,           10,      33.5544,     0.012593,      26.6452
128,      2097152,            2,           10,      33.5544,   0.00757194,      44.3142
128,      2097152,            3,           10,      33.5544,    0.0036211,      92.6636
128,      2097152,            4,           10,      33.5544,   0.00222301,      150.941
128,      2097152,            5,           10,      33.5544,   0.00125694,      266.953
128,      2097152,            6,           10,      33.5544,   0.00106502,       315.06
128,      2097152,            7,           10,      33.5544,     0.001086,      308.974
128,      2097152,            8,           10,      33.5544,   0.00106192,       315.98
128,      2097152,            9,           10,      33.5544,   0.00114417,      293.264
128,      2097152,           10,           10,      33.5544,   0.00109601,      306.151
128,      2097152,           11,           10,      33.5544,   0.00109315,      306.952
128,      2097152,           12,           10,      33.5544,    0.0011549,       290.54
128,      4194304,            0,           10,      67.1089,    0.0022459,      298.806
128,      4194304,            1,           10,      67.1089,   0.00157404,      426.348
128,      4194304,            2,           10,      67.1089,     0.013937,      48.1516
128,      4194304,            3,           10,      67.1089,   0.00685787,      97.8567
128,      4194304,            4,           10,      67.1089,   0.00374198,      179.341
128,      4194304,            5,           10,      67.1089,   0.00245214,      273.675
128,      4194304,            6,           10,      67.1089,   0.00184321,      364.086
128,      4194304,            7,           10,      67.1089,   0.00186896,       359.07
128,      4194304,            8,           10,      67.1089,   0.00186682,      359.483
128,      4194304,            9,           10,      67.1089,   0.00191903,      349.702
128,      4194304,           10,           10,      67.1089,   0.00194097,       345.75
128,      4194304,           11,           10,      67.1089,   0.00190687,      351.932
128,      4194304,           12,           10,      67.1089,   0.00194907,      344.312
128,      8388608,            0,           10,      134.218,   0.00373602,      359.253
128,      8388608,            1,           10,      134.218,   0.00224805,      597.041
128,      8388608,            2,           10,      134.218,   0.00159502,       841.48
128,      8388608,            3,           10,      134.218,    0.0129631,      103.539
128,      8388608,            4,           10,      134.218,   0.00826907,      162.313
128,      8388608,            5,           10,      134.218,    0.0043118,       311.28
128,      8388608,            6,           10,      134.218,   0.00341797,      392.683
128,      8388608,            7,           10,      134.218,   0.00343704,      390.504
128,      8388608,            8,           10,      134.218,   0.00344515,      389.585
128,      8388608,            9,           10,      134.218,   0.00349498,       384.03
128,      8388608,           10,           10,      134.218,   0.00349593,      383.925
128,      8388608,           11,           10,      134.218,   0.00351095,      382.283
128,      8388608,           12,           10,      134.218,   0.00362515,       370.24
128,     16777216,            0,           10,      268.435,     0.007025,      382.114
128,     16777216,            1,           10,      268.435,   0.00404191,       664.13
128,     16777216,            2,           10,      268.435,   0.00254989,      1052.73
128,     16777216,            3,           10,      268.435,   0.00185204,      1449.41
128,     16777216,            4,           10,      268.435,    0.0152969,      175.483
128,     16777216,            5,           10,      268.435,   0.00848889,       316.22
128,     16777216,            6,           10,      268.435,     0.006603,      406.535
128,     16777216,            7,           10,      268.435,   0.00662303,      405.306
128,     16777216,            8,           10,      268.435,   0.00664115,        404.2
128,     16777216,            9,           10,      268.435,   0.00680804,      394.292
128,     16777216,           10,           10,      268.435,   0.00668693,      401.433
128,     16777216,           11,           10,      268.435,   0.00684905,      391.931
128,     16777216,           12,           10,      268.435,   0.00689983,      389.046
128,     33554432,            0,           10,      536.871,    0.0130579,      411.145
128,     33554432,            1,           10,      536.871,   0.00704312,      762.263
128,     33554432,            2,           10,      536.871,   0.00404787,       1326.3
128,     33554432,            3,           10,      536.871,   0.00362802,      1479.79
128,     33554432,            4,           10,      536.871,   0.00360918,      1487.51
128,     33554432,            5,           10,      536.871,    0.0167191,      321.112
128,     33554432,            6,           10,      536.871,    0.0129051,      416.014
128,     33554432,            7,           10,      536.871,    0.0131462,      408.386
128,     33554432,            8,           10,      536.871,    0.0132339,      405.679
128,     33554432,            9,           10,      536.871,     0.013196,      406.844
128,     33554432,           10,           10,      536.871,    0.0131199,      409.202
128,     33554432,           11,           10,      536.871,     0.013438,      399.517
128,     33554432,           12,           10,      536.871,     0.013582,      395.281
128,     67108864,            0,           10,      1073.74,      0.01948,      551.202
128,     67108864,            1,           10,      1073.74,    0.0101311,      1059.85
128,     67108864,            2,           10,      1073.74,     0.007195,      1492.35
128,     67108864,            3,           10,      1073.74,   0.00706697,      1519.38
128,     67108864,            4,           10,      1073.74,   0.00706387,      1520.05
128,     67108864,            5,           10,      1073.74,   0.00702906,      1527.58
128,     67108864,            6,           10,      1073.74,     0.025996,      413.042
128,     67108864,            7,           10,      1073.74,    0.0253839,          423
128,     67108864,            8,           10,      1073.74,    0.0256999,      417.801
128,     67108864,            9,           10,      1073.74,       0.0258,      416.179
128,     67108864,           10,           10,      1073.74,      0.02578,      416.502
128,     67108864,           11,           10,      1073.74,     0.026022,      412.629
128,     67108864,           12,           10,      1073.74,    0.0265908,      403.802
128,    134217728,            0,           10,      2147.48,    0.0381839,      562.405
128,    134217728,            1,           10,      2147.48,    0.0194831,      1102.23
128,    134217728,            2,           10,      2147.48,      0.01454,      1476.95
128,    134217728,            3,           10,      2147.48,      0.01407,      1526.28
128,    134217728,            4,           10,      2147.48,    0.0141351,      1519.25
128,    134217728,            5,           10,      2147.48,    0.0140011,      1533.79
128,    134217728,            6,           10,      2147.48,    0.0139508,      1539.32
128,    134217728,            7,           10,      2147.48,     0.050555,      424.782
128,    134217728,            8,           10,      2147.48,    0.0507369,      423.259
128,    134217728,            9,           10,      2147.48,    0.0514948,      417.029
128,    134217728,           10,           10,      2147.48,      0.05123,      419.185
128,    134217728,           11,           10,      2147.48,      0.05179,      414.652
128,    134217728,           12,           10,      2147.48,     0.052115,      412.067
128,    268435456,            0,           10,      4294.97,    0.0756001,      568.116
128,    268435456,            1,           10,      4294.97,     0.038192,      1124.57
128,    268435456,            2,           10,      4294.97,    0.0295248,       1454.7
128,    268435456,            3,           10,      4294.97,    0.0282769,       1518.9
128,    268435456,            4,           10,      4294.97,     0.028286,      1518.41
128,    268435456,            5,           10,      4294.97,     0.028152,      1525.64
128,    268435456,            6,           10,      4294.97,    0.0278931,       1539.8
128,    268435456,            7,           10,      4294.97,    0.0277891,      1545.56
128,    268435456,            8,           10,      4294.97,     0.101253,      424.182
128,    268435456,            9,           10,      4294.97,     0.102863,      417.543
128,    268435456,           10,           10,      4294.97,     0.102282,      419.915
128,    268435456,           11,           10,      4294.97,     0.103446,      415.189
128,    268435456,           12,           10,      4294.97,     0.103977,      413.069
128,    536870912,            0,           10,      8589.93,     0.150434,       571.01
128,    536870912,            1,           10,      8589.93,    0.0756121,      1136.05
128,    536870912,            2,           10,      8589.93,     0.059942,      1433.04
128,    536870912,            3,           10,      8589.93,     0.056983,      1507.46
128,    536870912,            4,           10,      8589.93,    0.0568619,      1510.67
128,    536870912,            5,           10,      8589.93,    0.0564849,      1520.75
128,    536870912,            6,           10,      8589.93,    0.0562429,      1527.29
128,    536870912,            7,           10,      8589.93,    0.0557301,      1541.35
128,    536870912,            8,           10,      8589.93,    0.0554559,      1548.97
128,    536870912,            9,           10,      8589.93,     0.205456,      418.091
128,    536870912,           10,           10,      8589.93,     0.204424,      420.202
128,    536870912,           11,           10,      8589.93,      0.20685,      415.274
128,    536870912,           12,           10,      8589.93,     0.207879,      413.218
128,   1073741824,            0,           10,      17179.9,     0.300098,      572.475
128,   1073741824,            1,           10,      17179.9,     0.150448,      1141.91
128,   1073741824,            2,           10,      17179.9,     0.121506,      1413.91
128,   1073741824,            3,           10,      17179.9,     0.114577,      1499.42
128,   1073741824,            4,           10,      17179.9,     0.114147,      1505.07
128,   1073741824,            5,           10,      17179.9,     0.113121,      1518.72
128,   1073741824,            6,           10,      17179.9,     0.112986,      1520.53
128,   1073741824,            7,           10,      17179.9,      0.11249,      1527.24
128,   1073741824,            8,           10,      17179.9,      0.11124,      1544.39
128,   1073741824,            9,           10,      17179.9,     0.110791,      1550.66
128,   1073741824,           10,           10,      17179.9,     0.408424,      420.638
128,   1073741824,           11,           10,      17179.9,     0.413256,       415.72
128,   1073741824,           12,           10,      17179.9,     0.415488,      413.487
